"Story","Title","Result","Date","Stability","Duration (s)"
"search for products","Search valid product","SUCCESS","2022-06-04T12:58:14.394Z[Etc/UTC]","0.0","4.08"
"search for products","Search invalid product","SUCCESS","2022-06-04T12:58:18.507Z[Etc/UTC]","0.0","2.52"
