"Story","Title","Result","Date","Stability","Duration (s)"
"search for products","Search valid product","SUCCESS","2022-06-02T21:40:23.784Z[Etc/UTC]","0.0","4.26"
"search for products","Search invalid product","SUCCESS","2022-06-02T21:40:28.072Z[Etc/UTC]","0.0","2.55"
