"Story","Title","Result","Date","Stability","Duration (s)"
"search for products","Search valid product","SUCCESS","2022-06-01T22:35:55.812Z[Etc/UTC]","0.0","4.29"
"search for products","Search invalid product","SUCCESS","2022-06-01T22:36:00.119Z[Etc/UTC]","0.0","2.44"
